Stock,BY,Spawners,Recruits
Afognak,1978,610000,2153040
Afognak,1979,504000,1613392
Afognak,1980,990000,1348000
Afognak,1981,836000,526000
Afognak,1982,656000,931000
Afognak,1983,332000,1133000
Afognak,1984,466000,1597000
Afognak,1985,832000,837000
Afognak,1986,736000,3730000
Afognak,1987,522000,1886046
Afognak,1988,1304000,1423772
Afognak,1989,1886046,1223968
Afognak,1990,412772,1290872
Afognak,1991,621968,3433514
Afognak,1992,895872,1690958
Afognak,1993,815514,4921462
Afognak,1994,1067958,421738
Afognak,1995,1177462,924888
Afognak,1996,255738,2432470
Afognak,1997,689888,1469602
Afognak,1998,1521470,719910
Afognak,1999,983602,1163124
Afognak,2000,644910,1027402
Afognak,2001,620124,2706660
Afognak,2002,554402,3047376
Afognak,2003,714660,1464945
Afognak,2004,533776,1367598
Afognak,2005,907106,2564369
Afognak,2006,565800,1289399
Afognak,2007,229154,3610878
Afognak,2008,343456,2645315
Afognak,2009,790724,2557019
Westside,1978,6238000,18821263
Westside,1979,1624000,4240197
Westside,1980,8264000,12202000
Westside,1981,1612000,2778000
Westside,1982,6924000,14726000
Westside,1983,1210000,2842000
Westside,1984,5796000,12347000
Westside,1985,1162000,2486000
Westside,1986,4182000,9993000
Westside,1987,1084000,8598000
Westside,1988,3472000,12162000
Westside,1989,8598000,7435000
Westside,1990,9162000,5217000
Westside,1991,2444000,11420000
Westside,1992,3816000,6463000
Westside,1993,2340000,23571000
Westside,1994,3148000,5605000
Westside,1995,5360000,8083000
Westside,1996,3914000,18665000
Westside,1997,1510000,5730000
Westside,1998,6608000,10478000
Westside,1999,1556000,5086000
Westside,2000,5024000,17801000
Westside,2001,1828000,6218000
Westside,2002,8754000,22493708
Westside,2003,1878000,7030752
Westside,2004,9880208,23621882
Westside,2005,1705456,9117411
Westside,2006,4554396,8047323
Westside,2007,1739104,6835456
Westside,2008,4445434,7749342
Westside,2009,2472970,2096829
Alitak,1978,1314000,3089080
Alitak,1979,1138000,3323629
Alitak,1980,1036000,1454000
Alitak,1981,1250000,2308000
Alitak,1982,934000,1060000
Alitak,1983,880000,2656000
Alitak,1984,626000,1426000
Alitak,1985,1598000,1871000
Alitak,1986,698000,906000
Alitak,1987,954000,5604000
Alitak,1988,520000,323000
Alitak,1989,5422000,3310000
Alitak,1990,178000,425000
Alitak,1991,936000,5366000
Alitak,1992,366000,2213000
Alitak,1993,1900000,14652000
Alitak,1994,1092000,1535000
Alitak,1995,7592000,1964000
Alitak,1996,982000,4269000
Alitak,1997,1010000,3284000
Alitak,1998,2564000,1017000
Alitak,1999,1930000,2976000
Alitak,2000,774000,5000000
Alitak,2001,1536000,2298000
Alitak,2002,3922000,3436972
Alitak,2003,1800000,5420654
Alitak,2004,2017972,4621442
Alitak,2005,1227812,960626
Alitak,2006,1748472,1064934
Alitak,2007,486610,5787870
Alitak,2008,352692,793121
Alitak,2009,1791706,5961145
Eastside,1978,1400000,3553593
Eastside,1979,1760000,4461799
Eastside,1980,1590000,2006000
Eastside,1981,1614000,2371000
Eastside,1982,1178000,1561000
Eastside,1983,1272000,2510000
Eastside,1984,1162000,2016000
Eastside,1985,1942000,2624000
Eastside,1986,1414000,4588000
Eastside,1987,1360000,5426000
Eastside,1988,1714000,1411000
Eastside,1989,5426000,8519000
Eastside,1990,998000,1676000
Eastside,1991,2350000,8023000
Eastside,1992,1116000,2848000
Eastside,1993,2610000,13951000
Eastside,1994,1990000,738000
Eastside,1995,5330000,2952000
Eastside,1996,690000,2246000
Eastside,1997,1618000,3897000
Eastside,1998,1694000,1541000
Eastside,1999,2452000,2791000
Eastside,2000,1174000,2468000
Eastside,2001,1990000,5314000
Eastside,2002,1758000,4342970
Eastside,2003,3784000,9521665
Eastside,2004,3717970,7197847
Eastside,2005,3535942,8081954
Eastside,2006,3304076,1472149
Eastside,2007,1962488,11259533
Eastside,2008,707834,1035597
Eastside,2009,4360388,10791580
